Node,degree,betweenness,closeness,eigenvector,pagerank,harmonic
236,0.009095502779181405,5.1351910631793594e-05,0.16661355908627462,9.072022991165843e-07,0.0004027335077713568,767.172077922054
186,0.010864072764022235,4.678956250988327e-05,0.16710687935648372,8.761556850397148e-07,0.00045841027608496844,774.1649350649122
122,0.015664477008590198,0.005167296482449725,0.19593754548545894,1.6018154171189373e-05,0.0006583530605460556,929.9250360750111
285,0.011622031328954018,0.0035512446875051924,0.19575041301515514,1.595520824817581e-05,0.0005090717031199382,921.4250360750101
24,0.003789792824658919,1.377248050886683e-05,0.1597054919834111,1.0057372645204112e-08,0.0002166496571972657,696.0450577200315
346,0.006568974229408793,0.00015081683572293567,0.16350752473122124,2.238179295494936e-08,0.0003554045173795467,720.1338383838121
271,0.01819100555836281,0.0007531723643407957,0.18423023543019665,1.253415095815137e-06,0.000741082250571092,844.7111471861159
304,0.013643254168772108,0.0037353197093316563,0.19197725987298478,1.607522693328578e-05,0.0005718369216881564,912.3287518037247
176,0.0032844871147043966,5.035281394459246e-05,0.18276040531835444,1.6589057248161398e-07,0.00016440973923707774,804.2849567099211
9,0.014148559878726631,0.0006181808222071226,0.18409959421942498,1.1904194863186744e-06,0.0005951186169770776,836.1182900432577
130,0.003789792824658919,0.0003913150959734589,0.17041961912054163,2.3337310319330434e-07,0.00022581380040648464,768.6392496392192
329,0.007326932794340576,0.005156584072578303,0.1897786898890593,4.5731887425314306e-07,0.00041757589496968376,841.5999999999852
204,0.005305709954522487,0.0006350560028535914,0.176155005949405,1.2847812536347907e-07,0.00028833486803640253,788.2010101009748
213,0.009600808489135929,0.00493338317529149,0.19587841237983483,1.597313723131094e-05,0.0004424314012934176,917.0706709956432
252,0.01616978271854472,0.0006731174178863594,0.18408218938896226,1.4184740841186048e-06,0.0006659517516172068,839.777813852782
332,0.010611419909044973,0.0007827523255578807,0.18414312069810368,1.0381903131994856e-06,0.0004747855984722754,831.5516233765904
82,0.008337544214249622,0.0006062596574475109,0.1830008795358786,3.935075595526302e-07,0.0003768283869757571,815.8682900432556
65,0.0027791814047498737,1.0375005639700661e-05,0.16455773152433958,2.3463987301683616e-07,0.00014738472947502384,741.3065295815036
276,0.004295098534613442,1.4401000738492917e-06,0.16479449521913997,3.739203963858227e-07,0.00020222398863861083,747.8815295815049
26,0.016927741283476506,0.0006711433163843704,0.18415182846377723,1.2535988219518397e-06,0.0006871409321492672,841.5444805194489
280,0.010611419909044973,0.0009833108776850141,0.18404738959891756,8.64255013914513e-07,0.0004943116294975166,829.9682900432571
272,0.011116725618999495,0.00026615575515020134,0.17093577019241055,9.25160203694181e-07,0.0004971343797290026,789.155916305889
211,0.007326932794340576,4.2455172025987875e-05,0.1664497656233329,5.864805733213622e-07,0.0003184396910876557,761.0054112553863
199,0.011622031328954018,0.0005498424492327423,0.1835183184035578,7.683947349761617e-07,0.0004919660603508409,827.1301948051614
84,0.0030318342597271354,0.00017919648630400115,0.16490614933404601,1.3385627316138803e-07,0.00018850080026318558,743.9255772005519
133,0.004295098534613442,0.0005068816353748102,0.16638576015908982,2.6916676590785027e-07,0.0002397965981560319,753.2673160172902
62,0.0063163213744315315,1.1029187806398838e-05,0.16486426131507964,4.957654453365191e-07,0.0002843395778598106,752.1315295815052
239,0.014653865588681153,0.001118470157786309,0.18406478784910416,1.1073000703070895e-06,0.0006318113245748384,836.8778138527816
172,0.01010611419909045,0.00011974275680274263,0.17061374442600205,5.327287282212974e-07,0.0004318536497658858,780.8225829725544
322,0.01793835270338555,0.006228487816498288,0.19320592957548605,1.6398612259967553e-05,0.0007955678183009374,925.5216089465841
53,0.007579585649317838,0.0007382415313062342,0.16611605667037052,4.209944492257052e-07,0.0004169383655038066,756.700649350624
3,0.00404244567963618,0.0004952757690038954,0.16462729725315986,2.655923076191305e-07,0.00022336711537103987,744.7815295815044
170,0.011369378473976757,0.003128721853120853,0.18413441375589848,9.705303712971093e-07,0.0005177426983249756,831.5444805194477
175,0.00404244567963618,0.02998811784166185,0.15708990385330765,9.89057897984993e-09,0.0004882885529796974,695.7577200577
46,0.001010611419909045,0.0,0.13564119528120852,6.26877836368712e-11,0.00014807670502753646,579.1854728604798
56,0.01945426983324912,0.006619653345326109,0.1960855345681519,1.6060653967321392e-05,0.0008035695177707603,936.7750360750118
254,0.00404244567963618,7.312543725984288e-07,0.150195106314544,1.0171583497487953e-08,0.00022876950364242302,658.0215007214891
194,0.004547751389590703,4.231175188274566e-05,0.1630488492933971,1.2876882873419528e-08,0.00025311098217369266,708.3600288600013
231,0.005053057099545225,8.287877085135058e-05,0.17019617658858863,3.647036235630249e-07,0.0002606691781197278,769.4082972582669
117,0.0012632642748863063,8.34231196635878e-06,0.16398950252762443,1.0882470712290655e-07,0.00010157810889254064,728.6934343434067
127,0.003789792824658919,0.00012937875430326794,0.16572018879626776,1.1129011153709218e-07,0.00023465238405639637,744.133982683956
135,0.0022738756947953513,0.0,0.1491595953931169,6.178898158468617e-09,0.0001608804242397284,642.7830086579985
103,0.003789792824658919,0.00046266187954530915,0.19015863648242085,1.533110791579409e-05,0.0001759258581511291,881.0489898989595
188,0.01187468418393128,0.00043967088947423854,0.18389963716110203,1.0656864555291844e-06,0.0005043573997964493,830.6944805194476
23,0.00404244567963618,0.009939679662058928,0.136425248433123,3.4404748480289556e-10,0.0005666095160644514,600.9354728604816
116,0.00404244567963618,0.0018225858469958325,0.12026369526955612,2.173382171693763e-12,0.0003901552450209497,524.8980630480701
73,0.0022738756947953513,7.371219399928158e-06,0.15744556952063948,1.796380123450728e-08,0.00014761620822242286,688.7589826839614
299,0.004800404244567964,6.745842551988814e-05,0.16270142956020459,1.1871189533886382e-08,0.000270335122267558,707.5274891774613
